image,class,config,psnr,ssim,mse,rmse,mae,ambe,ncc,uqi,delta_e,enh_brightness,enh_contrast,enh_entropy,enh_eme,enh_avg_gradient,enh_laplacian_var,enh_colorfulness,enh_edge_density,enh_michelson,orig_brightness,orig_contrast,orig_entropy,orig_eme,orig_avg_gradient,orig_laplacian_var,orig_colorfulness,orig_edge_density,orig_michelson,cii,entropy_gain,sharpness_gain,eme_gain,colorfulness_gain
dyed_polyp_03.png,dyed_polyp,space:ycrcb,26.2949,0.9064,150.0886,12.2511,8.7277,7.4966,0.9676,0.9206,3.1258,40.4847,31.1054,5.7913,25.2686,18.6415,47.6539,29.6168,0.0931,0.9806,32.9881,24.4253,5.8538,52.1321,12.8659,49.8204,31.2048,0.0214,1.0,1.2735,-0.0625,1.4489,0.4847,0.9491
dyed_polyp_03.png,dyed_polyp,space:lab,26.4715,0.9138,144.4769,12.0199,8.408,7.2785,0.9719,0.9237,3.0412,40.2667,31.3837,6.0226,25.434,19.5513,50.0436,30.9863,0.1678,0.981,32.9881,24.4253,5.8538,52.1321,12.8659,49.8204,31.2048,0.0214,1.0,1.2849,0.1688,1.5196,0.4879,0.993
dyed_polyp_03.png,dyed_polyp,space:hsi,25.7855,0.9004,135.8286,11.6546,8.2024,6.6221,0.9651,0.9248,3.4261,39.6102,30.7157,5.9713,55.6748,19.0882,65.8908,39.0313,0.415,1.0,32.9881,24.4253,5.8538,52.1321,12.8659,49.8204,31.2048,0.0214,1.0,1.2575,0.1175,1.4836,1.068,1.2508
dyed_polyp_03.png,dyed_polyp,contrast:clahe_sk,20.7097,0.5579,435.1136,20.8594,17.6615,13.015,0.8708,0.7936,8.1676,46.0031,32.2947,6.7494,52.9128,33.5636,404.8663,42.4596,3.9154,0.9649,32.9881,24.4253,5.8538,52.1321,12.8659,49.8204,31.2048,0.0214,1.0,1.3222,0.8956,2.6087,1.015,1.3607
dyed_polyp_03.png,dyed_polyp,contrast:he,20.4248,0.6682,460.7252,21.4645,18.7572,18.7416,0.9789,0.848,8.6072,51.7298,33.1075,6.7909,51.4055,25.4541,445.7471,44.2847,0.4868,0.9826,32.9881,24.4253,5.8538,52.1321,12.8659,49.8204,31.2048,0.0214,1.0,1.3555,0.9371,1.9784,0.9861,1.4192
dyed_polyp_03.png,dyed_polyp,contrast:bbhe,22.5418,0.7243,286.4971,16.9262,12.3912,9.9677,0.9539,0.8663,5.0579,42.9559,34.8497,6.5479,22.2818,24.5427,148.0825,43.6841,2.5696,0.9492,32.9881,24.4253,5.8538,52.1321,12.8659,49.8204,31.2048,0.0214,1.0,1.4268,0.6941,1.9076,0.4274,1.3999
dyed_polyp_03.png,dyed_polyp,contrast:dsihe,22.5841,0.6877,284.0471,16.8537,12.5978,8.9844,0.9379,0.8606,5.149,41.9725,34.3793,6.5067,20.9072,25.2348,169.0661,43.0026,3.4622,0.9496,32.9881,24.4253,5.8538,52.1321,12.8659,49.8204,31.2048,0.0214,1.0,1.4075,0.6529,1.9614,0.401,1.3781
dyed_polyp_03.png,dyed_polyp,contrast:agcwd,27.0757,0.8213,98.2164,9.9104,8.0922,6.1389,0.9482,0.9256,3.9718,26.8492,22.5672,5.2379,17.3795,13.8504,38.8237,28.0609,0.2655,0.8913,32.9881,24.4253,5.8538,52.1321,12.8659,49.8204,31.2048,0.0214,1.0,0.9239,-0.6159,1.0765,0.3334,0.8992
dyed_polyp_03.png,dyed_polyp,contrast:msr,23.9628,0.7329,206.3831,14.366,11.2167,9.7069,0.9537,0.8977,5.196,42.6951,30.9189,6.672,48.0007,25.8861,208.0329,40.1223,0.9033,1.0,32.9881,24.4253,5.8538,52.1321,12.8659,49.8204,31.2048,0.0214,1.0,1.2659,0.8182,2.012,0.9208,1.2858
dyed_polyp_03.png,dyed_polyp,contrast:stretch,23.563,0.8894,225.009,15.0003,12.2211,11.4109,0.9981,0.9057,4.8973,44.399,34.0004,5.9961,52.4172,16.8399,81.7408,43.4297,0.1938,1.0,32.9881,24.4253,5.8538,52.1321,12.8659,49.8204,31.2048,0.0214,1.0,1.392,0.1423,1.3089,1.0055,1.3918
dyed_polyp_03.png,dyed_polyp,upsample:hu_wbi_literal,31.4772,0.9282,36.7503,6.0622,4.4879,0.2357,0.9706,0.9702,2.0416,32.7524,25.179,5.7433,54.763,16.0059,59.5672,32.1521,0.2838,1.0,32.9881,24.4253,5.8538,52.1321,12.8659,49.8204,31.2048,0.0214,1.0,1.0309,-0.1105,1.2441,1.0505,1.0304
dyed_polyp_03.png,dyed_polyp,upsample:bilinear,27.9266,0.907,82.736,9.0959,6.6122,4.0837,0.9656,0.947,2.8559,37.0718,28.6627,5.9111,55.2753,18.1996,68.7563,36.5362,0.3983,1.0,32.9881,24.4253,5.8538,52.1321,12.8659,49.8204,31.2048,0.0214,1.0,1.1735,0.0573,1.4146,1.0603,1.1709
dyed_polyp_03.png,dyed_polyp,upsample:bicubic,27.8785,0.9067,83.5878,9.1426,6.6668,4.2422,0.9656,0.9467,2.8848,37.2304,28.6058,5.9405,55.3593,18.3992,77.0072,36.5915,0.441,1.0,32.9881,24.4253,5.8538,52.1321,12.8659,49.8204,31.2048,0.0214,1.0,1.1712,0.0867,1.4301,1.0619,1.1726
dyed_polyp_03.png,dyed_polyp,upsample:lanczos4,27.8483,0.9086,84.1473,9.1732,6.69,4.3013,0.9654,0.9464,2.8949,37.2895,28.5826,5.9557,55.4587,18.3218,78.5629,36.5964,0.4395,1.0,32.9881,24.4253,5.8538,52.1321,12.8659,49.8204,31.2048,0.0214,1.0,1.1702,0.1019,1.4241,1.0638,1.1728
dyed_polyp_03.png,dyed_polyp,upsample:nearest,28.2668,0.8949,76.4462,8.7434,6.4924,3.9838,0.9679,0.9507,2.7978,36.9719,28.4226,5.9617,55.2428,18.2496,97.2505,36.4197,0.4379,1.0,32.9881,24.4253,5.8538,52.1321,12.8659,49.8204,31.2048,0.0214,1.0,1.1637,0.1079,1.4184,1.0597,1.1671
dyed_polyp_03.png,dyed_polyp,upsample:none,28.6561,0.9077,69.8719,8.3589,6.204,3.4663,0.9674,0.9534,2.7131,36.4545,28.0549,5.9096,55.3983,18.179,96.0009,35.8708,0.4395,1.0,32.9881,24.4253,5.8538,52.1321,12.8659,49.8204,31.2048,0.0214,1.0,1.1486,0.0558,1.413,1.0627,1.1495
dyed_polyp_03.png,dyed_polyp,sr:none,27.3319,0.8696,94.986,9.7461,7.183,3.9608,0.9521,0.9368,3.1576,36.9489,28.0986,6.3296,60.0985,21.7609,111.9838,35.9645,0.4852,0.9796,32.9881,24.4253,5.8538,52.1321,12.8659,49.8204,31.2048,0.0214,1.0,1.1504,0.4758,1.6914,1.1528,1.1525
dyed_polyp_03.png,dyed_polyp,sr:lanczos_detail,26.6669,0.7824,110.3575,10.5051,7.8313,4.0564,0.9425,0.9264,3.4621,37.0445,28.2492,6.4238,71.3076,24.7888,509.5608,36.2811,0.7233,1.0,32.9881,24.4253,5.8538,52.1321,12.8659,49.8204,31.2048,0.0214,1.0,1.1566,0.57,1.9267,1.3678,1.1627
dyed_polyp_03.png,dyed_polyp,sr:ibp,26.328,0.7376,119.2843,10.9217,8.1839,4.1759,0.9374,0.9206,3.6369,37.1641,28.325,6.4361,76.389,25.3791,812.3498,36.4219,0.7889,1.0,32.9881,24.4253,5.8538,52.1321,12.8659,49.8204,31.2048,0.0214,1.0,1.1597,0.5823,1.9726,1.4653,1.1672
dyed_polyp_03.png,dyed_polyp,sr:unsharp_sr,27.0249,0.8339,101.8249,10.0908,7.5181,4.1659,0.9488,0.9326,3.3312,37.154,28.1705,6.3995,63.6659,23.4198,214.6806,36.1336,0.5981,1.0,32.9881,24.4253,5.8538,52.1321,12.8659,49.8204,31.2048,0.0214,1.0,1.1533,0.5457,1.8203,1.2212,1.158
dyed_polyp_04.png,dyed_polyp,PAPER,28.4165,0.9022,73.0491,8.5469,6.2546,3.7437,0.9663,0.9478,2.7557,35.3006,27.2082,5.8815,54.6575,17.8935,72.293,35.0044,0.2045,1.0,31.5569,23.1353,5.7792,51.3415,12.3544,50.7773,29.9093,0.0198,1.0,1.176,0.1023,1.4484,1.0646,1.1704
dyed_polyp_04.png,dyed_polyp,space:yiq,27.0551,0.9047,125.5341,11.2042,7.8044,6.4784,0.9669,0.924,2.7169,38.0353,29.3523,5.7781,54.4694,18.1627,46.8046,28.5688,0.029,1.0,31.5569,23.1353,5.7792,51.3415,12.3544,50.7773,29.9093,0.0198,1.0,1.2687,-0.0011,1.4701,1.0609,0.9552
dyed_polyp_04.png,dyed_polyp,space:ycrcb,26.9343,0.9061,129.2569,11.3691,7.9651,6.7724,0.9679,0.923,2.8185,38.3293,29.4365,5.7409,24.3053,18.1002,47.1221,28.5916,0.029,0.9796,31.5569,23.1353,5.7792,51.3415,12.3544,50.7773,29.9093,0.0198,1.0,1.2724,-0.0383,1.4651,0.4734,0.9559
dyed_polyp_04.png,dyed_polyp,space:lab,27.1809,0.9161,122.1328,11.0514,7.6067,6.6696,0.9736,0.9278,2.7735,38.2265,29.5754,5.9138,24.2205,18.786,47.7947,29.8383,0.0732,0.98,31.5569,23.1353,5.7792,51.3415,12.3544,50.7773,29.9093,0.0198,1.0,1.2784,0.1346,1.5206,0.4718,0.9976
dyed_polyp_04.png,dyed_polyp,space:hsi,26.3716,0.9075,117.934,10.8597,7.4842,5.8342,0.962,0.9254,3.2059,37.3911,28.8892,5.7866,24.6419,18.4195,63.8394,37.215,0.3708,0.9795,31.5569,23.1353,5.7792,51.3415,12.3544,50.7773,29.9093,0.0198,1.0,1.2487,0.0074,1.4909,0.48,1.2443
