color_space,upsample_method,contrast_method,sr_method,sr_actual,seconds,psnr,ssim,mse,rmse,mae,ambe,ncc,uqi,original_brightness,original_contrast,original_entropy,original_eme,original_avg_gradient,original_laplacian_var,original_colorfulness,original_edge_density,original_michelson,enhanced_brightness,enhanced_contrast,enhanced_entropy,enhanced_eme,enhanced_avg_gradient,enhanced_laplacian_var,enhanced_colorfulness,enhanced_edge_density,enhanced_michelson,cii,entropy_gain,sharpness_gain,eme_gain,colorfulness_gain
lab,hu_wbi,he,srgan_v,srgan_v,0.727,16.1768,0.6299,1562.9358,39.534,33.479,32.4371,0.977,0.6763,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,73.4852,44.3205,6.7896,18.3844,38.1494,318.8274,32.5795,7.9074,0.9441,1.9462,0.9817,2.1892,1.3827,0.9544
lab,hu_wbi,he,none,none,0.015,16.1722,0.6174,1563.0171,39.535,33.219,31.8718,0.9763,0.6717,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,72.9199,45.1021,6.659,19.2258,41.0837,297.0726,32.3661,9.8117,0.9444,1.9805,0.8511,2.3576,1.4459,0.9481
lab,hu_wbi,agcwd,srgan_v,srgan_v,0.585,27.4628,0.8899,114.4366,10.6975,8.3971,7.9247,0.9489,0.9261,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,33.1235,21.571,5.7497,13.3416,19.5784,66.2379,33.1823,0.3852,0.8163,0.9472,-0.0582,1.1235,1.0034,0.972
lab,hu_wbi,agcwd,none,none,0.016,27.8254,0.9067,109.1097,10.4456,8.7311,7.9328,0.9552,0.9301,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,33.1154,20.893,5.7611,14.6525,20.8739,45.7499,33.1355,0.2577,0.8163,0.9175,-0.0468,1.1979,1.102,0.9707
hsi,hu_wbi,clahe,srgan_v,srgan_v,0.627,26.1509,0.8962,125.2769,11.1927,8.5507,5.5031,0.964,0.9245,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,46.5512,29.5922,6.0961,17.8252,26.6661,61.7125,41.1532,0.3581,0.9107,1.2995,0.2882,1.5303,1.3406,1.2055
hsi,hu_wbi,clahe,none,none,0.017,26.2495,0.9005,121.2563,11.0116,7.8838,5.0314,0.9504,0.9215,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,46.0795,28.4103,6.3722,19.3468,29.0685,56.1533,40.6345,0.6917,0.8793,1.2476,0.5643,1.6681,1.455,1.1903
hsi,hu_wbi,he,srgan_v,srgan_v,0.592,16.9422,0.6795,1104.3159,33.2312,29.2896,27.5319,0.9727,0.7373,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,68.5801,39.9962,6.6594,21.3493,33.0244,301.0234,48.7207,5.4226,0.9683,1.7563,0.8515,1.8951,1.6056,1.4272
hsi,hu_wbi,he,none,none,0.016,17.0396,0.6668,1084.8646,32.9373,28.8521,26.7903,0.9731,0.7357,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,67.8385,40.5875,6.5984,24.3724,35.885,334.0659,48.5194,7.251,0.9841,1.7823,0.7905,2.0593,1.833,1.4213
hsi,hu_wbi,agcwd,srgan_v,srgan_v,0.591,25.1951,0.8624,148.8808,12.2017,9.7837,8.8139,0.9293,0.902,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,32.2342,21.841,5.3442,14.0184,19.8796,57.4819,30.0376,0.3689,0.78,0.9591,-0.4637,1.1408,1.0543,0.8799
hsi,hu_wbi,agcwd,none,none,0.018,25.9851,0.9007,125.6937,11.2113,9.251,8.7868,0.9523,0.9231,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,32.2613,21.2322,5.6885,14.6258,21.0963,39.0991,29.2847,0.3472,0.8144,0.9324,-0.1194,1.2106,1.1,0.8579
gray,hu_wbi,clahe,srgan_v,srgan_v,0.608,25.8883,0.8923,133.2991,11.5455,8.8904,6.0568,0.9671,0.923,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,47.105,29.9615,6.0953,17.9505,26.909,65.4996,41.6521,0.472,0.9107,1.3157,0.2874,1.5442,1.35,1.2201
gray,hu_wbi,clahe,none,none,0.016,26.0926,0.8957,125.9072,11.2208,8.061,5.4969,0.954,0.9215,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,46.5451,28.7283,6.3918,19.5979,29.5345,60.0815,41.0665,0.6429,0.8803,1.2615,0.5839,1.6949,1.4739,1.203
gray,hu_wbi,he,srgan_v,srgan_v,0.599,16.4348,0.6841,1242.3325,35.2467,31.2868,29.466,0.9723,0.7202,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,70.5142,40.7339,6.6449,21.04,31.5489,249.2743,48.5347,5.0076,0.9841,1.7887,0.837,1.8105,1.5824,1.4218
gray,hu_wbi,he,none,none,0.016,16.5475,0.6713,1216.4939,34.8783,30.7428,28.7704,0.9735,0.7205,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,69.8185,41.1879,6.6124,24.0839,34.7924,305.2723,48.2754,6.939,0.9841,1.8087,0.8045,1.9966,1.8113,1.4142
gray,hu_wbi,agcwd,srgan_v,srgan_v,0.598,24.7874,0.8516,162.355,12.7419,10.1787,9.1133,0.9212,0.8921,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,31.9349,21.8457,5.4586,13.5769,20.0166,61.3431,29.7847,0.5317,0.78,0.9593,-0.3493,1.1487,1.0211,0.8725
gray,hu_wbi,agcwd,none,none,0.017,25.822,0.897,130.0639,11.4046,9.4029,8.8813,0.9496,0.9196,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,32.1669,21.1955,5.757,14.8743,21.515,43.5988,29.3407,0.4422,0.8144,0.9307,-0.0509,1.2347,1.1187,0.8595
