color_space,upsample_method,contrast_method,sr_method,sr_actual,seconds,psnr,ssim,mse,rmse,mae,ambe,ncc,uqi,original_brightness,original_contrast,original_entropy,original_eme,original_avg_gradient,original_laplacian_var,original_colorfulness,original_edge_density,original_michelson,enhanced_brightness,enhanced_contrast,enhanced_entropy,enhanced_eme,enhanced_avg_gradient,enhanced_laplacian_var,enhanced_colorfulness,enhanced_edge_density,enhanced_michelson,cii,entropy_gain,sharpness_gain,eme_gain,colorfulness_gain
yiq,bicubic,clahe_sk,none,none,0.022,17.2912,0.5827,1199.8463,34.6388,26.2389,23.023,0.9105,0.6679,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,64.0712,44.8414,6.9309,23.0408,55.0793,423.1434,30.6138,14.9848,0.9205,1.9691,1.123,3.1608,1.7329,0.8968
yiq,bicubic,he,none,none,0.014,15.8573,0.5965,1681.8423,41.0103,34.7973,34.0123,0.9769,0.6659,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,75.0605,44.6372,6.7388,20.2773,42.2449,562.9172,29.7211,9.4564,0.9586,1.9601,0.9309,2.4243,1.525,0.8706
yiq,bicubic,bbhe,none,none,0.015,17.6541,0.6213,1099.7515,33.1625,22.9687,18.9798,0.9223,0.6769,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,60.0279,46.7352,6.4872,17.9981,49.2837,363.0325,30.3268,13.4006,0.8846,2.0523,0.6793,2.8282,1.3536,0.8884
yiq,bicubic,dsihe,none,none,0.015,17.934,0.6184,1028.5363,32.0708,21.9695,16.5394,0.903,0.6767,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,57.5875,46.2404,6.4126,17.3523,49.408,403.7264,30.5517,13.0344,0.8734,2.0305,0.6047,2.8353,1.305,0.895
yiq,bicubic,agcwd,none,none,0.015,26.8485,0.8893,134.5211,11.5983,9.6063,8.7771,0.9432,0.9135,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,32.2711,20.9797,5.6989,13.7029,21.6119,62.3557,34.7679,0.3662,0.798,0.9213,-0.109,1.2402,1.0306,1.0185
yiq,bicubic,ssr,none,none,0.031,18.3625,0.7023,939.9255,30.6582,24.8851,24.0391,0.9577,0.7463,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,65.0872,39.6732,7.0706,21.7921,40.9032,159.8621,31.2699,7.0421,0.96,1.7421,1.2627,2.3473,1.6389,0.916
yiq,bicubic,msr,none,none,0.082,18.7153,0.6754,865.2561,29.4152,23.3895,22.4952,0.9591,0.755,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,63.5434,39.6644,7.02,23.4076,45.1482,209.5827,31.3001,10.4872,0.9474,1.7418,1.2121,2.5909,1.7604,0.9169
yiq,bicubic,stretch,none,none,0.016,17.808,0.7651,1075.5513,32.7956,26.8538,25.5377,0.9943,0.7341,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,66.5858,43.0772,6.6672,19.64,35.6984,119.7693,30.7839,3.4125,0.9456,1.8916,0.8593,2.0486,1.4771,0.9018
yiq,bicubic,tophat,none,none,0.015,31.1879,0.8791,49.5129,7.0365,5.2706,3.3668,0.9628,0.9592,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,37.6813,22.4548,6.1893,20.9477,30.0635,177.182,34.3831,0.8925,0.8947,0.986,0.3814,1.7252,1.5754,1.0072
yiq,bicubic,log,none,none,0.014,23.1938,0.794,294.5544,17.1626,14.0508,13.151,0.9634,0.7638,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,27.8972,12.7562,5.145,12.7213,10.7968,79.4015,33.6331,0.0461,0.8214,0.5602,-0.6629,0.6196,0.9567,0.9852
yiq,bicubic,none,none,none,0.014,35.9916,0.9858,16.5289,4.0656,3.5306,3.428,0.9977,0.9913,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,37.6201,21.1843,5.8701,14.9325,18.6162,49.8707,34.4426,0.0678,0.8409,0.9303,0.0622,1.0683,1.123,1.0089
ycrcb,hu_wbi,clahe,none,none,0.014,27.0636,0.8993,125.8078,11.2164,8.0916,5.8941,0.9575,0.9239,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,46.9422,28.7282,6.424,19.4545,29.5498,58.9533,33.2941,0.6266,0.8803,1.2615,0.6161,1.6957,1.4631,0.9753
ycrcb,hu_wbi,clahe_sk,none,none,0.021,17.2956,0.5889,1197.4398,34.604,26.2246,23.1743,0.9089,0.6684,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,64.2225,44.5787,6.9944,22.9168,54.439,274.6234,30.6701,14.247,0.9205,1.9576,1.1865,3.124,1.7235,0.8984
ycrcb,hu_wbi,he,none,none,0.013,15.8058,0.6005,1700.812,41.2409,35.3166,34.231,0.9768,0.6641,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,75.2792,44.7243,6.8382,20.0152,42.8343,354.6938,29.7133,8.3523,0.9586,1.964,1.0303,2.4581,1.5053,0.8704
ycrcb,hu_wbi,bbhe,none,none,0.017,17.5617,0.6316,1123.1869,33.514,23.206,19.7663,0.9271,0.6766,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,60.8144,46.7938,6.6245,17.6298,48.3111,238.2553,30.3687,12.5027,0.8846,2.0548,0.8166,2.7724,1.3259,0.8896
ycrcb,hu_wbi,dsihe,none,none,0.015,17.8287,0.6239,1053.6694,32.4603,22.298,17.4208,0.908,0.676,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,58.469,46.3507,6.5078,17.0489,48.6244,271.5083,30.5079,12.3779,0.8734,2.0354,0.6999,2.7904,1.2822,0.8937
ycrcb,hu_wbi,agcwd,none,none,0.014,27.0135,0.8895,129.9653,11.4002,9.4945,8.4925,0.9428,0.9152,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,32.5556,21.0621,5.7334,14.1873,21.2784,45.013,34.6112,0.453,0.8163,0.9249,-0.0745,1.2211,1.067,1.0139
ycrcb,hu_wbi,ssr,none,none,0.03,18.2788,0.7102,958.2676,30.9559,25.2166,24.4059,0.958,0.7444,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,65.454,39.7057,7.0772,21.8164,39.8002,98.204,31.2598,5.9353,0.96,1.7436,1.2693,2.284,1.6408,0.9157
ycrcb,hu_wbi,msr,none,none,0.081,18.6138,0.6854,885.5719,29.7586,23.7516,22.931,0.9602,0.7531,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,63.9792,39.7347,7.0148,22.7362,43.9288,128.3217,31.2949,9.451,0.9474,1.7448,1.2069,2.5209,1.71,0.9167
ycrcb,hu_wbi,stretch,none,none,0.014,17.6695,0.7648,1109.5488,33.3099,27.3653,25.8338,0.9936,0.7281,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,66.882,43.4982,6.6635,19.2743,34.9837,73.0321,30.6963,2.7724,0.9456,1.9101,0.8556,2.0076,1.4496,0.8992
ycrcb,hu_wbi,tophat,none,none,0.015,31.7646,0.8961,43.0304,6.5598,4.8294,2.8958,0.9661,0.9634,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,38.1523,22.3219,6.1673,20.8102,28.826,110.3708,34.3307,0.4747,0.8547,0.9802,0.3594,1.6542,1.5651,1.0057
ycrcb,hu_wbi,log,none,none,0.014,23.159,0.773,296.8312,17.2288,14.0514,13.0425,0.9571,0.7574,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,28.0056,12.6745,5.1504,12.5815,11.2881,102.5457,33.6721,0.0461,0.7966,0.5566,-0.6575,0.6478,0.9462,0.9864
ycrcb,hu_wbi,none,none,none,0.013,36.4028,0.9848,14.6433,3.8267,3.1532,2.993,0.9971,0.9913,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,38.0551,21.0803,5.8073,14.3485,17.8718,30.9306,34.2658,0.0651,0.8202,0.9257,-0.0006,1.0256,1.0791,1.0038
ycrcb,bicubic,clahe,none,none,0.014,27.0793,0.8948,125.1334,11.1863,8.0982,5.8735,0.9592,0.9246,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,46.9216,28.8522,6.4482,20.5262,30.4285,95.1152,33.2827,0.7378,0.8966,1.267,0.6403,1.7462,1.5437,0.975
ycrcb,bicubic,clahe_sk,none,none,0.02,17.2193,0.5662,1218.0095,34.9,26.6347,23.5781,0.9074,0.6657,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,64.6263,44.5483,6.9733,23.1694,56.1011,474.6483,30.6658,14.917,0.9205,1.9562,1.1654,3.2194,1.7425,0.8983
ycrcb,bicubic,he,none,none,0.014,15.7825,0.5729,1709.9202,41.3512,35.7586,34.0934,0.9731,0.6601,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,75.1416,44.9635,6.5836,20.1682,45.0797,918.2726,29.6622,10.0803,0.9586,1.9745,0.7757,2.5869,1.5168,0.8689
ycrcb,bicubic,bbhe,none,none,0.015,17.5642,0.6111,1121.7646,33.4928,23.1801,19.587,0.9254,0.6758,41.0481,22.7726,5.8079,13.2964,17.4259,19.6199,34.1371,0.0705,0.8298,60.6352,46.8342,6.47,17.859,50.0971,394.8519,30.3715,13.4657,0.8846,2.0566,0.6621,2.8749,1.3431,0.8897
